inventory_id,store_id,sku_id,system_stock,physical_stock,damaged_stock,reserved_stock,reorder_level,inventory_check_date
1,1,1342,124,121,3,10,34,2026-06-30
2,1,1371,262,266,5,9,34,2026-06-30
3,1,1082,168,168,8,13,57,2026-06-30
4,1,1089,233,224,2,9,59,2026-06-30
5,1,1104,398,408,1,14,22,2026-06-30
6,1,1162,133,139,3,3,39,2026-06-30
7,1,1099,136,132,5,10,25,2026-06-30
8,1,1254,58,61,8,3,34,2026-06-30
9,1,1363,394,388,0,6,56,2026-06-30
10,1,1231,355,359,3,8,55,2026-06-30
11,1,1481,75,67,4,17,48,2026-06-30
12,1,1307,371,379,7,6,46,2026-06-30
13,1,1419,75,80,4,4,23,2026-06-30
14,1,1181,384,375,2,5,47,2026-06-30
15,1,1063,53,62,8,5,31,2026-06-30
16,1,1071,214,204,0,4,45,2026-06-30
17,1,1121,251,244,7,8,35,2026-06-30
18,1,1378,309,299,1,1,54,2026-06-30
19,1,1164,73,69,8,16,20,2026-06-30
20,1,1263,173,169,7,11,38,2026-06-30
21,1,1005,138,138,1,20,42,2026-06-30
22,1,1076,120,116,7,7,37,2026-06-30
23,1,1127,209,203,2,9,30,2026-06-30
24,1,1298,173,180,1,9,40,2026-06-30
25,1,1288,303,303,1,9,50,2026-06-30
26,1,1025,135,125,4,2,30,2026-06-30
27,1,1007,258,259,4,13,40,2026-06-30
28,1,1198,331,327,6,19,26,2026-06-30
29,1,1326,94,101,2,20,35,2026-06-30
30,1,1038,346,356,2,18,44,2026-06-30
31,1,1032,250,242,6,2,32,2026-06-30
32,1,1297,381,382,6,0,36,2026-06-30
33,1,1014,338,338,0,6,55,2026-06-30
34,1,1095,236,229,3,0,33,2026-06-30
35,1,1405,295,295,5,7,23,2026-06-30
36,1,1462,191,195,6,20,28,2026-06-30
37,1,1009,168,160,2,17,58,2026-06-30
38,1,1167,291,284,8,0,54,2026-06-30
39,1,1323,365,370,8,20,55,2026-06-30
40,1,1302,226,235,1,11,36,2026-06-30
41,1,1440,96,98,3,2,35,2026-06-30
42,1,1222,119,110,0,15,28,2026-06-30
43,1,1333,372,369,5,3,49,2026-06-30
44,1,1020,112,116,8,6,58,2026-06-30
45,1,1053,185,182,4,20,33,2026-06-30
46,1,1286,242,233,3,1,21,2026-06-30
47,1,1377,346,349,0,9,22,2026-06-30
48,1,1043,264,254,0,19,28,2026-06-30
49,1,1356,309,307,8,0,23,2026-06-30
50,1,1056,218,215,1,20,34,2026-06-30
51,1,1084,223,223,7,6,25,2026-06-30
52,1,1183,377,380,2,10,31,2026-06-30
53,1,1275,149,152,7,20,51,2026-06-30
54,1,1086,312,302,1,6,21,2026-06-30
55,1,1218,235,234,1,19,46,2026-06-30
56,1,1103,176,184,8,18,52,2026-06-30
57,1,1152,264,272,3,3,58,2026-06-30
58,1,1423,90,84,1,11,59,2026-06-30
59,1,1441,121,122,1,2,47,2026-06-30
60,1,1165,245,236,3,11,30,2026-06-30
61,1,1257,352,352,1,18,45,2026-06-30
62,1,1252,143,139,8,7,37,2026-06-30
63,1,1158,361,354,3,17,55,2026-06-30
64,1,1308,126,128,4,13,35,2026-06-30
65,1,1499,102,99,4,10,39,2026-06-30
66,1,1207,97,103,8,5,28,2026-06-30
67,1,1325,147,144,4,6,46,2026-06-30
68,1,1109,371,361,5,19,57,2026-06-30
69,1,1381,106,104,8,19,20,2026-06-30
70,1,1457,331,321,7,13,35,2026-06-30
71,1,1399,169,167,0,15,41,2026-06-30
72,1,1305,73,72,7,0,43,2026-06-30
73,1,1485,94,90,6,10,55,2026-06-30
74,1,1037,63,71,4,10,33,2026-06-30
75,1,1069,56,49,0,20,48,2026-06-30
76,1,1469,345,346,8,17,47,2026-06-30
77,1,1327,119,114,2,1,48,2026-06-30
78,1,1468,263,267,2,0,60,2026-06-30
79,1,1195,120,123,8,1,28,2026-06-30
80,1,1279,256,262,6,13,22,2026-06-30
81,1,1159,279,278,8,6,44,2026-06-30
82,1,1187,235,233,4,4,28,2026-06-30
83,1,1486,146,140,8,14,27,2026-06-30
84,1,1239,107,98,1,3,59,2026-06-30
85,1,1451,142,150,4,19,44,2026-06-30
86,1,1340,274,270,5,15,49,2026-06-30
87,1,1364,180,182,0,4,30,2026-06-30
88,1,1146,330,323,0,17,56,2026-06-30
89,1,1062,248,243,5,20,42,2026-06-30
90,1,1238,178,186,6,8,54,2026-06-30
91,1,1232,60,56,3,0,36,2026-06-30
92,1,1029,199,207,5,14,23,2026-06-30
93,1,1111,377,386,3,14,26,2026-06-30
94,1,1299,330,340,4,4,49,2026-06-30
95,1,1189,57,63,8,10,44,2026-06-30
96,1,1348,296,296,0,20,21,2026-06-30
