order_item_id,order_id,sku_id,quantity,unit_price,total_price
1,1,1001,3,54,162
2,1,1295,1,132,132
3,2,1242,1,73,73
4,2,1251,1,275,275
5,2,1057,1,93,93
6,2,1488,2,109,218
7,2,1105,1,327,327
8,3,1415,2,111,222
9,3,1347,3,418,1254
10,4,1110,1,275,275
11,4,1190,2,182,364
12,4,1339,2,88,176
13,5,1319,1,430,430
14,5,1335,3,127,381
15,5,1158,3,77,231
16,5,1231,1,236,236
17,5,1485,1,290,290
18,6,1286,3,373,1119
19,6,1356,1,298,298
20,7,1328,2,213,426
21,7,1388,1,239,239
22,8,1490,3,232,696
23,8,1335,3,127,381
24,8,1247,3,205,615
25,8,1354,2,347,694
26,9,1041,3,207,621
27,9,1346,1,375,375
28,9,1075,3,74,222
29,9,1101,3,247,741
30,9,1316,3,374,1122
31,10,1349,1,45,45
32,11,1486,1,444,444
33,12,1486,2,444,888
34,12,1346,2,375,750
35,12,1453,2,283,566
36,12,1491,3,408,1224
37,12,1083,2,170,340
38,13,1007,3,252,756
39,14,1332,2,70,140
40,14,1206,2,287,574
41,14,1457,1,386,386
42,14,1364,1,125,125
43,15,1108,3,243,729
44,15,1183,2,35,70
45,15,1247,1,205,205
46,15,1057,3,93,279
47,15,1222,1,278,278
48,16,1344,1,224,224
49,16,1047,1,399,399
50,16,1350,3,341,1023
51,16,1083,3,170,510
52,17,1244,1,282,282
53,17,1122,1,278,278
54,17,1329,1,145,145
55,17,1339,2,88,176
56,17,1371,1,75,75
57,18,1121,2,214,428
58,18,1281,2,42,84
59,18,1167,3,151,453
60,19,1053,2,39,78
61,19,1182,1,116,116
62,19,1222,3,278,834
63,19,1041,1,207,207
64,19,1301,1,103,103
65,20,1372,3,435,1305
66,21,1270,1,145,145
67,21,1200,3,370,1110
68,21,1240,2,204,408
69,21,1490,2,232,464
70,21,1225,1,264,264
71,22,1040,2,225,450
72,22,1119,1,223,223
73,22,1268,2,347,694
74,22,1242,1,73,73
75,22,1230,2,309,618
76,23,1060,1,228,228
77,23,1070,3,346,1038
78,24,1185,3,86,258
79,25,1274,1,264,264
80,25,1086,3,235,705
81,25,1437,1,308,308
82,25,1209,1,114,114
83,26,1323,2,42,84
84,26,1237,3,417,1251
85,26,1441,3,271,813
86,27,1469,2,362,724
87,27,1016,2,430,860
88,27,1024,1,21,21
89,28,1284,3,109,327
90,29,1385,2,371,742
91,29,1173,3,328,984
92,29,1194,3,365,1095
93,29,1476,1,354,354
94,29,1167,3,151,453
95,30,1080,2,278,556
96,30,1343,1,116,116
97,31,1146,2,417,834
98,31,1266,3,138,414
99,31,1155,3,35,105
100,31,1021,2,158,316
101,31,1225,3,264,792
102,32,1440,2,195,390
103,32,1324,2,202,404
104,33,1186,1,223,223
105,34,1349,1,45,45
106,34,1239,1,224,224
107,34,1320,1,192,192
108,34,1276,2,22,44
109,34,1281,1,42,42
110,35,1390,3,180,540
111,36,1154,3,405,1215
112,36,1273,3,63,189
113,36,1388,1,239,239
114,37,1150,1,191,191
115,37,1128,2,240,480
116,37,1231,1,236,236
117,37,1331,1,296,296
118,37,1311,1,189,189
119,38,1279,3,104,312
120,38,1305,2,72,144
121,38,1492,3,214,642
122,38,1211,3,102,306
123,39,1007,2,252,504
124,39,1094,3,231,693
125,39,1068,1,443,443
126,39,1034,1,422,422
127,40,1272,1,400,400
128,40,1113,2,136,272
129,41,1203,1,271,271
130,41,1273,2,63,126
131,41,1425,3,365,1095
132,41,1291,3,399,1197
133,42,1111,3,92,276
134,42,1168,2,321,642
135,43,1124,1,249,249
136,43,1233,2,350,700
137,43,1281,3,42,126
138,43,1175,1,122,122
139,43,1398,1,199,199
140,44,1066,2,54,108
141,44,1238,2,222,444
142,44,1036,2,99,198
143,44,1020,3,347,1041
144,44,1361,1,149,149
145,45,1333,3,118,354
146,45,1034,3,422,1266
147,46,1268,1,347,347
148,46,1333,2,118,236
149,46,1472,2,285,570
150,46,1239,1,224,224
151,47,1395,3,184,552
152,48,1178,2,149,298
153,48,1267,1,415,415
154,48,1436,2,210,420
155,48,1116,2,99,198
