sku_id,product_name,category,brand,mrp,selling_price,weight,shelf_life_days,reorder_level,is_active
1001,Nestle Product 1,Dairy,Nestle,160,54,1kg,262,32,True
1002,Amul Product 2,Dairy,Amul,131,60,500g,201,24,True
1003,Mother Dairy Product 3,Dairy,Mother Dairy,127,84,1L,364,25,True
1004,Nestle Product 4,Dairy,Nestle,344,272,1L,187,13,True
1005,Mother Dairy Product 5,Dairy,Mother Dairy,387,355,1kg,303,12,True
1006,Mother Dairy Product 6,Dairy,Mother Dairy,75,445,750ml,42,17,True
1007,Nestle Product 7,Dairy,Nestle,155,252,1kg,113,33,True
1008,Nestle Product 8,Dairy,Nestle,110,428,1kg,41,32,True
1009,Nestle Product 9,Dairy,Nestle,191,46,1L,162,22,True
1010,Nestle Product 10,Dairy,Nestle,344,243,250g,328,23,True
1011,Amul Product 11,Dairy,Amul,206,90,500g,279,39,True
1012,Amul Product 12,Dairy,Amul,40,445,1kg,103,32,True
1013,Nestle Product 13,Dairy,Nestle,77,389,1L,266,29,True
1014,Amul Product 14,Dairy,Amul,361,163,500g,166,26,True
1015,Nestle Product 15,Dairy,Nestle,358,283,1L,222,15,True
1016,Mother Dairy Product 16,Dairy,Mother Dairy,213,430,1L,300,23,True
1017,Mother Dairy Product 17,Dairy,Mother Dairy,57,231,250g,93,26,True
1018,Mother Dairy Product 18,Dairy,Mother Dairy,381,156,1kg,17,15,True
1019,Nestle Product 19,Dairy,Nestle,270,107,250g,38,32,True
1020,Mother Dairy Product 20,Dairy,Mother Dairy,389,347,750ml,108,34,True
1021,Amul Product 21,Dairy,Amul,402,158,250g,128,27,True
1022,Mother Dairy Product 22,Dairy,Mother Dairy,113,91,500g,246,40,True
1023,Mother Dairy Product 23,Dairy,Mother Dairy,194,312,1kg,66,23,True
1024,Nestle Product 24,Dairy,Nestle,50,21,1kg,243,29,True
1025,Nestle Product 25,Dairy,Nestle,492,315,500g,145,28,True
1026,Mother Dairy Product 26,Dairy,Mother Dairy,464,182,250g,249,26,True
1027,Mother Dairy Product 27,Dairy,Mother Dairy,119,376,1L,41,22,True
1028,Amul Product 28,Dairy,Amul,252,95,1kg,84,37,True
1029,Nestle Product 29,Dairy,Nestle,243,168,500g,342,37,True
1030,Mother Dairy Product 30,Dairy,Mother Dairy,119,441,1kg,267,34,True
1031,Mother Dairy Product 31,Dairy,Mother Dairy,412,167,1L,80,23,True
1032,Amul Product 32,Dairy,Amul,390,244,500g,105,17,True
1033,Mother Dairy Product 33,Dairy,Mother Dairy,494,416,1L,192,24,True
1034,Nestle Product 34,Dairy,Nestle,51,422,1kg,245,36,True
1035,Mother Dairy Product 35,Dairy,Mother Dairy,312,382,750ml,66,19,True
1036,Nestle Product 36,Dairy,Nestle,492,99,250g,174,24,True
1037,Nestle Product 37,Dairy,Nestle,430,338,1kg,71,22,True
1038,Amul Product 38,Dairy,Amul,83,127,250g,47,32,True
1039,Nestle Product 39,Dairy,Nestle,470,52,250g,215,40,True
1040,Nestle Product 40,Dairy,Nestle,128,225,500g,115,40,True
1041,Mother Dairy Product 41,Dairy,Mother Dairy,205,207,750ml,204,31,True
1042,Mother Dairy Product 42,Dairy,Mother Dairy,317,424,750ml,322,12,True
1043,Nestle Product 43,Dairy,Nestle,374,18,500g,102,18,True
1044,Mother Dairy Product 44,Dairy,Mother Dairy,289,80,500g,65,26,True
1045,Nestle Product 45,Dairy,Nestle,205,30,1kg,82,22,True
1046,Mother Dairy Product 46,Dairy,Mother Dairy,119,368,750ml,292,29,True
1047,Mother Dairy Product 47,Dairy,Mother Dairy,78,399,1L,164,24,True
1048,Mother Dairy Product 48,Dairy,Mother Dairy,108,295,1kg,169,20,True
1049,Amul Product 49,Dairy,Amul,64,323,1L,42,32,True
1050,Nestle Product 50,Dairy,Nestle,381,151,500g,31,11,True
1051,Mother Dairy Product 51,Dairy,Mother Dairy,44,57,1L,83,18,True
1052,Amul Product 52,Dairy,Amul,64,398,250g,314,19,True
1053,Mother Dairy Product 53,Dairy,Mother Dairy,71,39,250g,258,25,True
1054,Mother Dairy Product 54,Dairy,Mother Dairy,282,413,1L,135,18,True
1055,Amul Product 55,Dairy,Amul,366,132,1L,277,21,True
1056,Amul Product 56,Dairy,Amul,96,135,250g,234,22,True
1057,Amul Product 57,Dairy,Amul,109,93,750ml,85,21,True
1058,Nestle Product 58,Dairy,Nestle,395,328,250g,242,12,True
1059,Mother Dairy Product 59,Dairy,Mother Dairy,467,190,500g,343,39,True
1060,Nestle Product 60,Dairy,Nestle,258,228,250g,261,13,True
1061,Amul Product 61,Dairy,Amul,214,55,1L,113,13,True
1062,Amul Product 62,Dairy,Amul,388,390,500g,25,29,True
1063,Nestle Product 63,Dairy,Nestle,207,313,750ml,88,17,True
1064,Mother Dairy Product 64,Dairy,Mother Dairy,423,124,1L,215,35,True
1065,Nestle Product 65,Dairy,Nestle,463,120,1kg,91,16,True
1066,Amul Product 66,Dairy,Amul,92,54,250g,357,30,True
1067,Mother Dairy Product 67,Dairy,Mother Dairy,172,320,250g,223,38,True
1068,Mother Dairy Product 68,Dairy,Mother Dairy,328,443,500g,221,21,True
1069,Mother Dairy Product 69,Dairy,Mother Dairy,230,290,1kg,289,37,True
1070,Amul Product 70,Dairy,Amul,349,346,1L,266,38,True
1071,Mother Dairy Product 71,Dairy,Mother Dairy,485,84,1L,356,16,True
1072,Amul Product 72,Dairy,Amul,218,387,1kg,59,18,True
1073,Nestle Product 73,Dairy,Nestle,185,59,500g,54,11,True
1074,Nestle Product 74,Dairy,Nestle,192,102,750ml,28,36,True
1075,Amul Product 75,Dairy,Amul,470,74,500g,323,36,True
1076,Mother Dairy Product 76,Dairy,Mother Dairy,397,180,250g,118,19,True
1077,Amul Product 77,Dairy,Amul,345,360,1kg,200,28,True
